Response ID,country,state_province,age,gender,marital,sexuality,children,income,education
139,1,6,3,2,3,3,0,6,3
157,1,6,9,1,3,1,1,2,3
157000,1,6,9,1,3,1,1,2,3
174,1,5,3,2,3,1,2,5,6
177,1,6,4,1,1,1,0,6,2
177000,1,6,4,1,1,1,0,6,2
184,1,5,8,1,1,2,0,3,2
184000,1,5,8,1,1,2,0,3,2
194,1,5,3,2,1,1,0,0,2
201,1,5,3,1,1,1,0,5,3
201000,1,5,3,1,1,1,0,5,3
205,1,48,9,2,2,1,1,6,3
207,1,5,8,1,2,1,0,5,6
207000,1,5,8,1,2,1,0,5,6
210,1,5,4,2,3,1,1,9,8
211,1,5,9,1,4,1,0,6,4
211000,1,5,9,1,4,1,0,6,4
218,1,5,8,1,1,1,0,3,6
218000,1,5,8,1,1,1,0,3,6
222,1,5,8,1,3,1,1,7,6
222000,1,5,8,1,3,1,1,7,6
223,1,5,4,2,3,1,2,6,3
224,1,2,3,2,2,1,2,4,2
226,1,5,4,1,1,1,1,5,2
226000,1,5,4,1,1,1,1,5,2
234,1,6,9,2,1,1,0,6,6
240,1,5,3,1,1,1,1,6,3
240000,1,5,3,1,1,1,1,6,3
249,1,5,9,1,3,1,3,3,3
249000,1,5,9,1,3,1,3,3,3
250,1,5,8,2,3,1,0,6,6
255,1,48,8,1,4,1,6,4,6
255000,1,48,8,1,4,1,6,4,6
257,1,29,7,1,1,1,1,6,6
257000,1,29,7,1,1,1,1,6,6
268,1,38,7,2,3,1,0,6,4
271,1,29,9,2,3,1,1,8,3
275,1,6,9,2,1,2,0,4,6
290,1,5,3,1,1,1,0,7,6
290000,1,5,3,1,1,1,0,7,6
291,1,5,3,2,1,1,1,4,4
295,1,5,4,2,2,1,0,0,2
299,1,5,7,1,3,1,5,3,3
299000,1,5,7,1,3,1,5,3,3
307,1,5,2,2,2,3,0,2,3
310,1,2,6,2,3,1,4,6,4
319,1,5,5,1,1,1,1,5,2
319000,1,5,5,1,1,1,1,5,2
391,1,5,6,1,1,1,0,6,6
391000,1,5,6,1,1,1,0,6,6
399,1,5,3,2,1,1,0,5,3
411,1,5,9,2,3,1,0,4,2
423,1,29,9,1,3,1,2,6,6
423000,1,29,9,1,3,1,2,6,6
427,1,5,7,2,3,2,2,7,4
435,1,5,8,2,3,1,2,6,2
436,1,6,9,2,2,1,0,9,8
439,1,5,9,1,1,2,0,4,6
439000,1,5,9,1,1,2,0,4,6
453,1,6,9,2,1,1,0,3,2
456,1,5,9,2,5,1,0,3,2
463,1,5,4,2,1,1,0,3,5
465,1,5,9,2,4,1,5,5,3
471,1,5,7,2,4,1,1,3,3
479,1,29,9,2,3,1,2,7,3
481,1,5,9,1,3,1,2,6,8
481000,1,5,9,1,3,1,2,6,8
493,1,5,4,1,1,1,0,6,3
493000,1,5,4,1,1,1,0,6,3
496,1,29,8,2,4,1,2,1,4
498,1,5,3,2,1,2,0,4,3
503,1,5,4,2,1,3,0,2,3
506,1,38,5,1,1,1,0,2,2
506000,1,38,5,1,1,1,0,2,2
508,1,48,7,2,5,1,0,0,2
513,1,5,5,2,1,1,1,3,3
518,1,5,4,1,1,1,0,3,4
518000,1,5,4,1,1,1,0,3,4
520,1,6,4,2,4,1,1,6,6
526,1,5,8,1,3,1,5,7,1
526000,1,5,8,1,3,1,5,7,1
535,1,5,8,2,1,1,5,0,4
537,1,29,9,1,3,1,2,6,3
537000,1,29,9,1,3,1,2,6,3
539,1,5,9,2,1,2,0,3,3
540,1,6,9,2,5,1,5,3,6
543,1,5,5,1,2,2,1,7,6
543000,1,5,5,1,2,2,1,7,6
548,1,2,6,2,4,1,3,6,8
549,1,38,4,2,1,1,0,3,4
553,1,5,4,2,1,1,0,6,3
555,1,38,8,2,1,3,5,3,3
556,1,48,6,2,3,1,2,2,3
566,1,6,9,2,5,1,2,4,6
569,1,48,6,1,3,1,3,4,6
569000,1,48,6,1,3,1,3,4,6
570,1,38,9,2,1,2,0,6,6
574,1,5,9,2,4,1,5,3,2
582,1,5,5,2,1,2,0,7,8
601,1,5,6,2,1,1,0,7,6
605,1,5,7,1,3,1,5,3,3
605000,1,5,7,1,3,1,5,3,3
612,1,5,9,2,3,2,0,4,6
